cts_nbr,imr,screen,rpca,weightedcdrec
1,4.477266804021723,0.3080801856765426,0.5525618514679541,0.535341802771472
2,2.953263171584104,0.29267816910245087,0.5295610775103572,0.5140602227108997
3,2.112287839937541,0.54427490382441,0.9909700899583125,0.98071378128016
4,1.6781459241419736,0.4740065225272396,0.8391772327940735,0.8457625143306823
5,1.479762669983863,0.4535525942950157,0.8242433729237858,0.8093914717972821
6,1.9227497420401418,0.5458910848469559,1.0635881072756237,1.267921389552357
7,2.473852915764561,0.6307786850304563,1.1004573208872457,1.1460307496314626
8,2.8623961399853384,0.6757978393262444,1.1357786401248353,1.0798390211750952
9,3.163801062408703,0.7189181499299697,1.1390554340708448,1.125696533328083
10,3.252448188277834,0.7166417391404099,1.0650866625180677,1.033191230564698
