cts_nbr,imr,screen,rpca,weightedcdrec
1,1.9496653057875333,0.799519069307472,1.1384330513254908,0.8494507788858358
2,2.079775695234863,0.8881945261575903,1.3535394672649914,1.1607944795636678
3,2.276080700956552,0.8516588866942731,1.3088063743231277,1.2268101204687112
4,2.515563879494949,0.9031661232773024,1.0465035260944764,1.0031252542311146
5,2.7129666234599843,1.0025729432789854,1.3224575547860795,1.2205419205958916
6,2.736283158616833,0.9872729075321764,1.1506707216397196,1.072202653995646
7,2.4420045596745017,0.9408669694723598,1.0790864905977116,1.0315164611162
8,2.467731843801109,0.9310784922239643,0.9793737518664064,0.9384083096854937
9,2.5665358166245933,0.9511740937566169,1.0339635401230372,0.9705518135521018
10,2.5802196116775473,0.9404274904983896,1.018848485057775,0.9805226630471284
