cts_nbr,imr,screen,rpca,cdrec
1,0.30287232084844534,0.25340921373910447,0.3867392516988215,0.4848110387507066
2,0.3530211566438589,0.33400324292908634,0.48225607210436094,0.6184431029624113
3,0.35114410612735525,0.3340574856973396,0.6319502062067622,0.6576951387800228
4,0.36260835931486307,0.3323637926173767,0.5798629536882534,0.6173279511450986
5,0.3633357616676543,0.3418513422957544,0.5773922740191278,0.6110507729537032
6,0.364269768769012,0.3378575765537605,0.5239401164700799,0.5688105578800774
7,0.34688660822526196,0.32027392407686867,0.5682287719207448,0.628391058343649
8,0.3468793399143352,0.3160246447419477,0.5401251232506759,0.603529551468379
9,0.34668017999519046,0.3207977284573775,0.5525058504915382,0.5953120303178238
10,0.35046697623608086,0.32369085195280123,0.5524766908660356,0.5896601644707026
