cts_nbr,imr,screen,rpca,cdrec
1,0.15611403774828528,0.13919590879671787,0.0637060479171131,0.060736917855349064
2,0.1633508320907191,0.14316007905849165,0.16765679138369732,0.18357729600548583
3,0.1619892244802091,0.14228852240023265,0.15291177102851625,0.1657892189304438
4,0.16262026136478003,0.1433501400535473,0.1419815741228579,0.15939705950037197
5,0.16320393276158354,0.14273674157960087,0.13543857203299292,0.15610033953418084
6,0.16275185034947126,0.14343114191640652,0.12753361778699215,0.1528609308762741
7,0.164489594475526,0.14404643310809692,0.12210858076652724,0.15516449291604442
8,0.16575905905717714,0.14401739411166092,0.12534685160605924,0.14766480777422467
9,0.1653667648462074,0.14340161136482188,0.1249609280943109,0.13910977956843615
10,0.16569415480954067,0.1437241983349439,0.12727574125529684,0.14617077717459706
