cts_nbr,imr,screen,rpca,cdrec
1,0.17007602333595948,0.8272464013251911,0.9187615833427341,0.9160039176949192
2,0.18936819410700959,0.8313651587545087,0.9663845921690211,0.9639105913387794
3,0.18031347351097257,0.7842791485546051,0.9868934558096639,0.9865699917859929
4,0.17436202766053172,0.6827745344287778,0.8625576620840627,1.031008744549426
5,0.1761340492856494,0.6522715981336497,0.8317557368249975,0.8532406314210269
6,0.2500581364900311,0.6438066760396431,0.8067269702794236,0.8358982350697587
7,0.3063005445076726,0.6280772842228933,0.7493679237691429,0.7758765227944645
8,0.34875904599975177,0.6206917709563831,0.7135701725096849,0.7323056149095202
9,0.37082165467553196,0.6085816391241954,0.6958418365885903,0.7041803363678695
10,0.3746101847381979,0.5909123206987517,0.6825598018962844,0.6882075867594959
