1855	4	10.09
1855	5	8.75
1855	6	23.13
1855	7	13.72
1855	8	8.23
1855	9	5.61
1855	10	23.05
1855	11	12.97
1855	12	23.08
1856	1	46.33
1856	2	40.89
1856	3	15.71
1856	4	26.03
1856	5	19.00
1856	6	7.22
1856	7	4.37
1856	8	6.10
1856	9	19.14
1856	10	36.21
1856	11	35.34
1856	12	57.27
1857	1	50.53
1857	2	40.29
1857	3	49.67
1857	4	46.15
1857	5	16.46
1857	6	7.78
1857	7	9.79
1857	8	9.34
1857	9	13.86
1857	10	28.67
1857	11	17.74
1857	12	17.22
1858	1	17.93
1858	2	10.24
1858	3	15.24
1858	4	34.42
1858	5	22.93
1858	6	8.26
1858	7	4.68
1858	8	5.44
1858	9	10.63
1858	10	34.42
1858	11	20.23
1858	12	36.88
1859	1	37.66
1859	2	30.15
1859	3	49.58
1859	4	42.08
1859	5	11.49
1859	6	4.74
1859	7	8.98
1859	8	15.65
1859	9	34.43
1859	10	41.51
1859	11	61.14
1859	12	56.86
1860	1	51.27
1860	2	27.11
1860	3	44.34
1860	4	28.69
1860	5	23.19
1860	6	50.58
1860	7	17.27
1860	8	43.16
1860	9	18.32
1860	10	31.19
1860	11	35.51
1860	12	43.94
1861	1	19.66
1861	2	30.62
1861	3	42.55
1861	4	12.31
1861	5	8.30
1861	6	9.71
1861	7	21.75
1861	8	23.85
1861	9	27.18
1861	10	29.36
1861	11	50.81
1861	12	47.72
1862	1	53.69
1862	2	17.63
1862	3	25.71
1862	4	32.99
1862	5	27.41
1862	6	22.44
1862	7	19.52
1862	8	15.00
1862	9	18.70
1862	10	47.04
1862	11	23.48
1862	12	35.05
1863	1	52.22
1863	2	23.76
1863	3	16.52
1863	4	12.76
1863	5	10.27
1863	6	15.20
1863	7	8.60
1863	8	10.11
1863	9	34.45
1863	10	56.43
1863	11	50.01
1863	12	28.65
1864	1	28.35
1864	2	20.64
1864	3	18.07
1864	4	11.43
1864	5	9.57
1864	6	11.33
1864	7	6.87
1864	8	4.22
1864	9	20.86
1864	10	26.04
1864	11	38.83
1864	12	30.02
1865	1	43.28
1865	2	39.25
1865	3	25.58
1865	4	10.03
1865	5	22.90
1865	6	10.32
1865	7	6.85
1865	8	24.51
1865	9	8.63
1865	10	18.94
1865	11	50.91
1865	12	33.76
1866	1	63.93
1866	2	50.46
1866	3	47.28
1866	4	14.69
1866	5	6.62
1866	6	11.32
1866	7	7.50
1866	8	12.64
1866	9	49.63
1866	10	22.43
1866	11	33.64
1866	12	44.43
1867	1	52.77
1867	2	34.43
1867	3	28.59
1867	4	39.86
1867	5	26.80
1867	6	7.81
1867	7	7.35
1867	8	7.83
1867	9	7.46
1867	10	36.02
1867	11	14.04
1867	12	24.29
1868	1	48.99
1868	2	29.84
1868	3	36.17
1868	4	22.40
1868	5	11.67
1868	6	5.65
1868	7	2.25
1868	8	4.81
1868	9	8.91
1868	10	25.29
1868	11	26.52
1868	12	91.51
1869	1	62.86
1869	2	52.21
1869	3	22.89
1869	4	17.97
1869	5	23.41
1869	6	8.17
1869	7	1.94
1869	8	1.57
1869	9	25.12
1869	10	30.78
1869	11	41.75
1869	12	60.16
1870	1	43.56
1870	2	46.27
1870	3	28.65
1870	4	11.53
1870	5	10.00
1870	6	6.08
1870	7	2.47
1870	8	3.45
1870	9	7.22
1870	10	57.99
1870	11	48.67
1870	12	25.84
1871	1	35.39
1871	2	36.17
1871	3	23.93
1871	4	32.78
1871	5	11.34
1871	6	7.11
1871	7	24.26
1871	8	12.03
1871	9	15.18
1871	10	46.79
1871	11	17.91
1871	12	28.41
1872	1	73.39
1872	2	58.20
1872	3	56.26
1872	4	24.91
1872	5	12.87
1872	6	28.10
1872	7	20.71
1872	8	14.30
1872	9	30.46
1872	10	76.45
1872	11	88.83
1872	12	90.65
1873	1	70.46
1873	2	19.84
1873	3	24.70
1873	4	12.67
1873	5	9.77
1873	6	6.78
1873	7	8.98
1873	8	23.43
1873	9	15.28
1873	10	27.43
1873	11	25.85
1873	12	15.25
1874	1	35.09
1874	2	44.40
1874	3	32.61
1874	4	17.74
1874	5	7.94
1874	6	5.09
