cts_nbr,imr,screen,rpca,weightedcdrec
1,0.8820358683973633,0.6905384598698744,0.3028040038402161,0.3548397604514777
2,0.8575479555913719,0.7402759730277859,0.48938627968877624,0.5817896887211208
3,0.8450584389206165,0.7553798261634992,0.34263793096228484,0.40095707234762346
4,0.8898923970402107,0.798707737021787,0.27189844585070566,0.311234806092223
5,0.8476351061471983,0.7586148243741773,0.3377529482137535,0.3726528114291558
6,0.7453176762743039,0.664909723238942,0.28324109847899753,0.33372525461481717
7,0.7632813169077153,0.6847785842938078,0.2679674691306583,0.316547485673302
8,0.7157749869973997,0.6314550634793663,0.24517826753122132,0.29764573847339265
9,0.7386484078699509,0.6588065290465818,0.2256757338490146,0.27013541342435715
10,0.755289136097418,0.6789377454560691,0.22526520016557763,0.26049801614153245
