cts_nbr,imr,screen,rpca,weightedcdrec
1,0.7970100624456089,0.7204143192521512,0.8266185383296338,0.6814537259754119
2,0.9979695138034635,0.9075638459496779,1.015997234036209,0.9256456191352934
3,1.0062047341668336,0.8525319143831599,1.0086061947372025,0.980795631966212
4,1.142507707199322,0.9415795314200013,0.842209697886267,0.8328662236239014
5,1.09534844391867,0.9062839095919007,0.8419051899768539,0.8484153552299337
6,1.1516920289108261,0.9685011769179364,0.7787177970315476,0.7689668237151388
7,0.9937466914403184,0.8409189640871341,0.6874993611751304,0.6750391586240971
8,1.0269806754953748,0.87599124256539,0.6765405916918625,0.6638301876607036
9,1.0539825064618262,0.9036879954829131,0.7306659904322106,0.7129189243797939
10,1.064161733256903,0.9115166551849154,0.7703995656241726,0.7515783208282015
