cts_nbr,imr,screen,rpca,weightedcdrec
1,0.187183321981424,0.10251279060721087,0.023919937523065378,0.032725399461651955
2,0.17964639306376207,0.10544465127751738,0.06790404272998458,0.0857027160769854
3,0.16302415660186265,0.10121969268480631,0.06298940853291053,0.08891074485773076
4,0.18290327836886167,0.11014164290144997,0.06310615349564325,0.08801477190687958
5,0.21625147704513537,0.11176446495734657,0.06324041555708527,0.08164666719260538
6,0.20649597932193053,0.10592456888309809,0.06518135018090812,0.08190983000735176
7,0.21078455363007037,0.10605764804970587,0.0679234336884973,0.08854585009189683
8,0.20404898060985152,0.10414598768795286,0.07502278693266579,0.09659055838099463
9,0.19800979522718426,0.10140333698520547,0.07771729254018403,0.10136620372233594
10,0.20266676979200604,0.10437733613660989,0.08945662271832101,0.1131087876037334
