18,19,20,21,22,23,24,25,27,30,34,35
0.00792,0.009805,0.024427,0.018328,0.010148,0.032232,0.009836,0.032617,0.035023,0.039216,0.120125,0.121685
0.0079,0.010288,0.025233,0.019781,0.009739,0.030641,0.009836,0.031424,0.036493,0.042539,0.121685,0.121685
0.007694,0.009913,0.025925,0.020563,0.013451,0.029845,0.016393,0.029833,0.038697,0.045862,0.121685,0.121685
0.058353,0.058551,0.140915,0.132432,0.168738,0.027457,0.259016,0.027446,0.212589,0.293785,0.24493,0.24493
0.007128,0.010155,0.02604,0.022575,0.073523,0.030243,0.02623,0.030628,0.040411,0.051844,0.123245,0.123245
0.007725,0.011737,0.025579,0.021234,0.018832,0.031039,0.009836,0.031026,0.037962,0.044533,0.123245,0.123245
0.009432,0.011833,0.026501,0.02101,0.013928,0.031834,0.009836,0.031822,0.037472,0.043868,0.120125,0.120125
0.007992,0.010831,0.026501,0.022351,0.016482,0.030641,0.022951,0.030628,0.039677,0.049518,0.118565,0.120125
0.058055,0.058611,0.138726,0.129638,0.159169,0.032232,0.24918,0.032617,0.207201,0.285809,0.24181,0.24181
0.006974,0.010735,0.023735,0.01911,0.042874,0.031437,0.006557,0.031424,0.034778,0.03988,0.120125,0.120125
0.0072,0.010312,0.024427,0.019669,0.01277,0.032232,0.013115,0.032617,0.036493,0.042871,0.121685,0.121685
0.006676,0.010891,0.026155,0.023581,0.019411,0.037803,0.029508,0.037788,0.041146,0.053506,0.126365,0.126365
0.009,0.012292,0.032377,0.029839,0.040354,0.033426,0.045902,0.033811,0.050698,0.070788,0.137285,0.137285
0.049641,0.050907,0.124093,0.118909,0.173846,0.038599,0.245902,0.037788,0.189077,0.268195,0.232449,0.232449
0.016365,0.020551,0.047356,0.044032,0.196322,0.030641,0.068852,0.030628,0.071761,0.097707,0.152886,0.152886
0.007787,0.011978,0.027192,0.024139,0.032147,0.03263,0.022951,0.033015,0.041881,0.053838,0.121685,0.121685
0.004577,0.010916,0.021316,0.018999,0.019785,0.033426,0.009836,0.033413,0.034044,0.039216,0.118565,0.118565
0.005143,0.011556,0.023735,0.021234,0.01764,0.029447,0.009836,0.029833,0.038452,0.044865,0.124805,0.124805
0.03128,0.033411,0.082728,0.076553,0.089222,0.034222,0.134426,0.033413,0.127357,0.171486,0.180967,0.180967
0.036104,0.037746,0.090563,0.083929,0.161893,0.031039,0.15082,0.031424,0.136419,0.186108,0.191888,0.191888
