tau,rmse,time
0.0,1.0,1.0
0.004081632653061225,0.9644993385710939,0.2237335846976803
0.00816326530612245,0.9646216499535615,0.11459548625866318
0.012244897959183675,0.9657746993062318,0.07517171842042232
0.0163265306122449,0.9670970566077262,0.05457065887849264
0.020408163265306124,0.9671937712916148,0.04088276274141665
0.02448979591836735,0.9702387719479205,0.03326778801950134
0.028571428571428574,0.9727797354198365,0.026087421223289317
0.0326530612244898,0.9733468672402414,0.021068504510908338
0.036734693877551024,0.9723949588360045,0.023744401606053348
0.04081632653061225,0.97506993145172,0.01738624861891259
0.04489795918367347,0.9813675658600466,0.010051354560228288
0.0489795918367347,0.9809420395962722,0.012357673952627091
0.05306122448979592,0.9823500815188472,0.009573607773751484
0.05714285714285715,0.9816044614496617,0.010342380904551085
0.06122448979591837,0.9808337083634645,0.010415781354225419
0.0653061224489796,0.9854250151975108,0.007005235898743436
0.06938775510204082,1.0,0.0027061586840458327
0.07346938775510205,1.0,0.0009657953904517604
0.07755102040816328,1.0,0.0006090949595782436
0.0816326530612245,1.0,0.0011068015174577174
0.08571428571428572,1.0,0.0019586330518361703
0.08979591836734695,1.0,0.004282980624856741
0.09387755102040818,1.0,0.004389861981400068
0.0979591836734694,1.0,0.0
0.10204081632653061,1.0,0.00010366203857515563
0.10612244897959185,1.0,0.0012072442380647007
0.11020408163265308,1.0,0.001437747404585854
0.1142857142857143,1.0,0.004584952650271324
0.11836734693877551,1.0,0.0015652323961254865
0.12244897959183675,1.0,0.0029327986690051793
0.12653061224489798,1.0,0.003959117237258583
0.1306122448979592,1.0,0.0024705046087756034
0.1346938775510204,1.0,0.001524025126132878
0.13877551020408163,1.0,0.0017184719314104991
0.14285714285714288,1.0,0.0032264004677025142
0.1469387755102041,1.0,0.004862457859127796
0.1510204081632653,1.0,0.003104066384911958
0.15510204081632656,1.0,0.0012677674158663441
0.15918367346938778,1.0,0.0011222542437049456
0.163265306122449,1.0,0.002340444162861433
0.1673469387755102,1.0,0.002314045755522418
0.17142857142857143,1.0,0.00441432879795818
0.17551020408163268,1.0,0.000923300393271883
0.1795918367346939,1.0,0.002090625088531244
0.1836734693877551,1.0,0.0007224149520579168
0.18775510204081636,1.0,0.0022953737113070175
0.19183673469387758,1.0,0.003203221378331672
0.1959183673469388,1.0,0.0023868023416031173
0.2,1.0,0.003369338185489375
