,truth,injected,class,TS10,TS17,TS3,TS31,TS38,TS45,TS66,TS73,TS87
0,-150.575962602257,-150.575962602257,0.0,127.699238158408,216.370595195306,-19.413646152003,394.123323955456,483.204695678708,-281.129226660013,-37.9356728257814,166.780674736255,-168.140906944967
1,100.79432555917,100.79432555917,0.0,23.0696141879837,0.7623931290732711,61.4432598612614,-43.0320196160401,-64.51921130224301,141.363496042075,67.495734884907,15.668229429660098,108.760965244953
2,-88.8017133376071,-88.8017133376071,0.0,246.118856604796,339.998476295098,85.50134385159559,528.9877597347651,624.0974234841291,-261.277613349315,61.2472484247689,289.59125858674,-110.184561771228
3,552.919331935212,552.919331935212,0.0,295.937818479586,386.066099360615,216.338428263733,567.962719868086,659.73105949453,891.936445176684,265.283202921833,338.88193024816,605.692435917587
4,303.47532593016103,303.47532593016103,0.0,264.64998579677103,294.997671684932,232.313774820756,357.743116893023,390.14087621295306,377.682139002056,243.556946217675,283.053268987578,319.50390898242296
5,81.586243527153,81.586243527153,0.0,122.232867460138,16.0237070983333,251.526701358122,-193.934525507153,-297.683597750835,-84.69989994882641,228.542175725531,83.19121439156429,64.3442118809736
6,451.60559107282097,451.60559107282097,0.0,238.54006612310903,175.39227335986,346.494603423389,51.9667906378357,-8.3108993209382,560.979945469741,363.018588535684,219.032711301664,474.82915250259697
7,566.362116432956,566.362116432956,0.0,356.590694161392,338.076719647993,408.170057910735,304.32888811202497,289.095031089456,729.426594095164,432.492500252544,357.291545009059,598.341217423314
8,580.868995680808,580.868995680808,0.0,439.196251874042,441.173563638897,456.418057582853,448.818319345791,454.48576328783,710.801405311247,476.135786968882,449.75850897442297,609.200466046455
9,421.491585689135,421.491585689135,0.0,735.3746752564999,906.345983428982,481.693308935613,1252.38874663748,1427.4602016735,367.38038636764,475.247533805838,819.4423572364681,424.616633870047
10,911.6352330868132,911.6352330868132,0.0,621.5748566521779,677.936526979678,589.8383658501419,795.170029184569,856.0418610619599,1240.13167664096,638.179265037075,657.603548832044,970.5040379155008
11,692.593115980413,692.593115980413,0.0,514.838357042967,462.082394756622,606.010230666383,361.490646420176,313.65486037007497,786.484630004421,620.964579540625,505.181775950362,719.032452827478
12,499.325198245582,499.325198245582,0.0,529.769665007723,452.872916599332,624.676930686096,304.40961070514703,232.84305321935287,381.891146907544,609.570352700232,510.846459139131,496.66069056360993
13,164.683855876815,164.683855876815,0.0,665.571204127323,649.0126933025431,624.269058905189,621.635877261935,610.817572046107,-286.374613656585,561.630289368746,673.586669356598,115.444238975332
14,1017.81862846547,1017.81862846547,0.0,712.6112942673919,695.6345924432179,775.688378570877,667.831409090175,657.004927561307,1269.08466424753,813.5101208425431,721.526961201817,1069.99660570316
15,782.990495510744,782.990495510744,0.0,748.12009475196,723.547249980186,786.13881251377,680.961795418297,662.949185628182,789.5870167876891,789.136206619178,754.8596982708749,801.30120691325
16,835.778263567641,835.778263567641,0.0,860.759328417907,882.912440407959,832.497494122612,934.188914056077,963.3122757141432,849.4129236851401,836.628776254,888.603768396781,856.179945327196
17,1111.68458291004,1111.68458291004,0.0,789.482115057592,731.809663862038,906.4052701646808,623.845025825296,573.5528389841089,1327.92683872036,939.608934158088,784.1950258046679,1162.11572886268
18,1125.28362880828,1125.28362880828,0.0,966.460876401821,1001.98529216633,945.360485530599,1080.82440273607,1124.1390975413,1316.77876754342,975.157286704881,1002.19472797953,1173.26499427286
19,1112.19034251721,1112.19034251721,0.0,838.8977354649229,757.561187834676,979.611388948817,603.088386301258,529.9521323980861,1256.95034393557,1002.86018155517,825.6277434354829,1154.58078174494
