cts_nbr,imr,screen,rpca,cdrec
1,0.6257556495685005,0.8811201597355574,0.880976159753366,0.8788262590410724
2,0.6045429048488582,0.9134869684223916,0.9221315284035945,0.920763201700312
3,0.5185051190202704,0.9418837606135334,0.9580783121708136,0.958770203043745
4,0.4553308814449411,0.8378967934290713,0.8375272450934261,1.005146528139749
5,0.4229827429084032,0.7937305093519471,0.8110964303602365,0.8350123638541334
6,0.4339450925477116,0.7750560111482421,0.7879302390704072,0.8210363246659952
7,0.44831844989824543,0.7480781693666688,0.7310791418334531,0.7610663218253398
8,0.4596630360410214,0.729213523562014,0.6984557555699799,0.7179535527650662
9,0.4670764285738608,0.7109456675781212,0.6809741478460756,0.6901354444275705
10,0.4581546814154165,0.6865450967512274,0.6704958025370698,0.6759933549071259
