cts_nbr,imr,screen,rpca,cdrec
1,0.14874985050175482,0.131344406529131,0.04497387518533552,0.057160022721430004
2,0.14740420365271187,0.11364171661655642,0.1118581903222612,0.18437989375026315
3,0.15105646948315749,0.13422482495883348,0.10434013158526571,0.16513077938126144
4,0.1495980567734713,0.14164141148109616,0.1046019126936123,0.15733503894158962
5,0.16697341724410217,0.14091715052548753,0.10425407473706272,0.15494438265073512
6,0.1685033614122025,0.14703560467500632,0.09920693949583496,0.14397557611034945
7,0.1642725149264166,0.16300107424059215,0.10658593206820301,0.14856779403261836
8,0.16464045564851332,0.164122663235404,0.11733778365771057,0.1532573596465384
9,0.1630241776143645,0.1741413138771609,0.11246636892242819,0.14214663750379278
10,0.16622699232820462,0.1802137161826147,0.11878233986658562,0.14486651582088556
