cts_nbr,imr,screen,rpca,weightedcdrec
1,0.47566272673558135,0.46589175494932067,0.4886153100189119,0.4886153100189119
2,0.4620963627628481,0.4501671117491803,0.4737724004905685,0.4737724004905685
3,0.9691706143855049,0.5265164600809783,0.526892513768601,0.5255135591558735
4,0.8350274693676798,0.5013506112242639,0.5025016943488915,0.5045115930593964
5,2.6475004169979046,0.8010783423731573,0.6468205519345799,0.6227380435982623
6,3.051812843842452,1.4265628634549923,1.0485350291620483,1.3415467868587507
7,3.513291162429968,2.149151969572949,1.2312051037416951,1.1782095267367951
8,3.863344587540558,2.5917424993189355,1.4055433654070448,1.1258494764109148
9,4.125788396368546,2.9530681884937637,1.5132005289336128,1.2664884285715337
10,4.081307560184209,2.960696358174534,1.392287674334743,1.1577771302202262
