cts_nbr,imr,screen,rpca,cdrec
1,0.38382182301674056,0.4220223183930701,0.39819224310876367,0.4952031222626151
2,0.4246361236739507,0.4970144553015902,0.4611644786154366,0.6483236892615873
3,0.39798179863972827,0.4834552295310425,0.639256151430321,0.6869507409612939
4,0.40582789320346035,0.48847212294282466,0.581730746609633,0.6431141968763361
5,0.3971680318902413,0.48283309299650756,0.6335705654869277,0.6232763966296868
6,0.4128850792221885,0.4958431495098055,0.5842599196497762,0.5778895206301818
7,0.39324904137049355,0.46965922821656536,0.5593853376714149,0.6339265771991295
8,0.4014676044638101,0.47763207485710396,0.5316475245949327,0.6051442788542288
9,0.40954101349028793,0.4928151505332133,0.5538121880759773,0.6009320345105561
10,0.4130340023391245,0.4952412898384864,0.5532231813716793,0.6005746343143227
